Aceite de soya,99,1.4,2.53,7.04,195,0.00,0.00,0,0,0,0
Alfalfa heno plena flor ,92.0,16.0,0.79,2.20,61.0,1.25,0.22,29,50,26,26
Alfalfa ensilada,44.2,19.5,0.75,2.09,58.0,1.32,0.31,25.4,47.5,50,50
alfalfa fresca plena floracion,27.0,19.0,0.88,2.35,55.0,1.90,0.30,24.36,36.99,48,52
Alfalfa fresca Dactiles I.Flor,21.0,17.0,0.99,2.77,63.0,0.89,0.29,28,53,33,26
Alfalfa heno inicio flor,90.0,18.0,0.74,2.16,60.0,1.41,0.24,26,46,46,200
Alfalfa heno media flor,90.0,17.0,0.68,2.09,60.0,1.41,0.24,26,46,46,46
Alfalfa fresca,21.0,19.0,0.77,2.09,61.0,1.52,0.25,26,45,52,52
Alfalfa Pellet,88.0,16.8,0.55,1.96,54.3,0.87,0.41,30.8,58.19,46,0
Arroz polvillo,89.0,13.5,0.85,2.36,63.0,0.13,1.60,13.5,16,0,0
Avena  paja,92.0,4.4,0.65,1.80,50.0,0.24,0.06,41,70,0,0
Avena 30% y Vicia 70%,38.5,14.8,0.64,1.78,49.2,0.48,0.44,30,39.4,0,0
Avena fresca,25.0,14.0,0.74,2.16,60.0,0.48,0.44,32,58,45,0
Avena grano,90.0,13.3,1.22,2.78,77.0,0.07,0.38,12,32,0.6,20
Avena heno,90.0,11.5,0.52,1.91,53.0,0.28,0.31,32,56,0,0
Avena paja,92.0,4.4,0.42,1.81,50.0,0.24,0.06,41,70,0,0
Avena ensilada,31.0,11.5,0.61,2.12,59.0,0.37,0.30,32,56,29.5,0
Arveja fresca,15.6,13.0,0.91,2.38,54.1,0.73,0.28,28.01,42.22,45,0
Brosa de Caigua,93.0,7.3,0.25,1.62,45.0,1.33,0.83,35,65.1,0,0
Brosa de Quinua,92.0,6.3,0.25,1.62,45.0,0.67,0.42,40,66.7,0,0
Cañihua Jipi,94,10,0.51,1.42,39.4,1.70,1.30,0,0,0,0
Carbonato de Calcio,99.0,0.0,0.00,0.00,0.0,38.00,0.00,0,0,0,0
Cascara de Algodon,91.0,4.1,0.58,1.62,45.0,0.15,0.09,48,90,0,0
Cascara de Arroz,92.0,3.3,0.15,0.43,12.0,0.10,0.08,43,82,0,0
Cebada ensilado,37.1,11.9,0.77,2.16,60.0,0.52,0.29,2.92,56.8,0,0
Cebada fresca grano leche,29.0,12.0,1.42,2.63,79.0,0.36,0.24,22,0,34,0
Cebada grano,91.0,11.0,1.40,2.95,84.0,0.05,0.38,6,19,0.7,20
Cebada heno,87.0,8.7,0.62,2.02,56.0,0.23,0.26,28,0,21,0
Cebada paja,91.0,4.3,0.53,1.76,49.0,0.30,0.07,42,80,1,0
Cebada hidroponico,20.0,17.0,1.05,2.90,80.9,0.30,0.07,15,63.5,36,0
Col forrajera,13.9,15.8,1.22,2.78,77.0,1.76,0.29,18.45,26.86,0.8,0
