Peso vivo,Proteina,Energia Met.,"Vit ""A""","Vit ""D""",Ca,P,Fibra,M.S.,N°,Raza
200-I,"1,011","16,99","8,480","1,320","39,0","16,0","1,800","5,60",200,Criollo
201-I,"1,015","17,075","8,522","1,325","39,0","16,0","1,809","5,63",201,Criollo
202-I,"1,019","17,160","8,565","1,330","39,0","16,0","1,818","5,66",202,Criollo
203-I,"1,023","17,245","8,607","1,335","39,0","16,0","1,827","5,68",203,Criollo
204-I,"1,027","17,330","8,650","1,340","39,0","16,0","1,836","5,71",204,Criollo
205-I,"1,031","17,415","8,692","1,345","39,0","16,0","1,845","5,74",205,Criollo
206-I,"1,035","17,500","8,734","1,350","39,0","16,0","1,854","5,77",206,Criollo
207-I,"1,037","17,585","8,777","1,355","39,0","16,0","1,863","5,80",207,Criollo
208-I,"1,037","17,670","8,819","1,360","39,0","16,0","1,872","5,82",208,Criollo
209-I,"1,037","17,755","8,862","1,365","39,0","16,0","1,881","5,85",209,Criollo
210-I,"1,037","17,840","8,904","1,320","39,0","16,0","1,890","5,88",210,Criollo
211-I,"1,037","17,925","8,946","1,326","39,0","16,0","1,899","5,91",211,Criollo
212-I,"1,037","18,010","8,989","1,333","39,0","16,0","1,908","5,94",212,Criollo
213-I,"1,037","18,095","9,031","1,339","39,0","16,0","1,917","5,96",213,Criollo
214-I,"1,037","18,180","9,074","1,345","39,0","16,0","1,926","5,99",214,Criollo
215-I,"1,037","18,265","9,116","1,351","39,0","16,0","1,935","6,02",215,Criollo
216-I,"1,037","18,350","9,158","1,358","39,0","16,0","1,944","6,05",216,Criollo
217-I,"1,037","18,435","9,201","1,364","39,0","16,0","1,953","6,08",217,Criollo
218-I,"1,037","18,520","9,243","1,370","39,0","16,0","1,962","6,10",218,Criollo
219-I,"1,037","18,605","9,286","1,377","39,0","16,0","1,971","6,13",219,Criollo
220-I,"1,037","18,690","9,320","1,319","39,0","16,0","1,980","6,16",220,Criollo
221-I,"1,037","18,775","9,362","1,320","39,0","16,0","1,989","6,19",221,Criollo
222-I,"1,037","18,860","9,405","1,320","39,0","16,0","1,998","6,22",222,Criollo
223-I,"1,037","18,945","9,447","1,320","39,0","16,0","2,007","6,24",223,Criollo
224-I,"1,037","19,030","9,490","1,320","39,0","16,0","2,016","6,27",224,Criollo
225-I,"1,037","19,115","9,532","1,320","39,0","16,0","2,025","6,30",225,Criollo
226-I,"1,037","19,200","9,574","1,320","39,0","16,0","2,034","6,33",226,Criollo
227-I,"1,037","19,285","9,617","1,320","39,0","16,0","2,043","6,36",227,Criollo
228-I,"1,037","19,370","9,659","1,320","39,0","16,0","2,052","6,38",228,Criollo
229-I,"1,037","19,410","9,702","1,320","39,0","16,0","2,061","6,41",229,Criollo
230-I,"1,037","19,410","9,744","1,320","39,0","16,0","2,07","6,44",230,Criollo
231-I,"1,037","19,410","9,786","1,320","39,0","16,0","2,079","6,47",231,Criollo
232-I,"1,037","19,410","9,829","1,320","39,0","16,0","2,088","6,50",232,Criollo
233-I,"1,037","19,410","9,871","1,320","39,0","16,0","2,097","6,52",233,Criollo
234-I,"1,037","19,410","9,914","1,320","39,0","16,0","2,106","6,55",234,Criollo
235-I,"1,037","19,410","9,956","1,320","39,0","16,0","2,115","6,58",235,Criollo
236-I,"1,037","19,410","9,998","1,320","39,0","16,0","2,124","6,61",236,Criollo
237-I,"1,037","19,410","10,041","1,320","39,0","16,0","2,133","6,64",237,Criollo
238-I,"1,037","19,410","10,083","1,320","39,0","16,0","2,142","6,66",238,Criollo
239-I,"1,037","19,410","10,126","1,320","39,0","16,0","2,151","6,69",239,Criollo
240-I,"1,037","19,410","10,160","1,320","39,0","16,0","2,16","6,72",240,Criollo
241-I,"1,037","19,410","10,202","1,320","39,0","16,0","2,169","6,75",241,Criollo
242-I,"1,037","19,410","10,245","1,320","39,0","16,0","2,178","6,78",242,Criollo
243-I,"1,037","19,410","10,287","1,320","39,0","16,0","2,187","6,80",243,Criollo
244-I,"1,037","19,410","10,329","1,320","39,0","16,0","2,196","6,83",244,Criollo
245-I,"1,037","19,410","10,372","1,320","39,0","16,0","2,205","6,86",245,Criollo
246-I,"1,037","19,410","10,414","1,320","39,0","16,0","2,214","6,89",246,Criollo
247-I,"1,037","19,410","10,456","1,320","39,0","16,0","2,223","6,92",247,Criollo
248-I,"1,037","19,410","10,498","1,320","39,0","16,0","2,232","6,94",248,Criollo
249-I,"1,037","19,410","10,541","1,320","39,0","16,0","2,241","6,97",249,Criollo
250-I,"1,037","19,410","10,580","1,320","36,0","15,0","2,250","7,00",250,Criollo
251-I,"1,041","19,49","10,622","1,320","36,0","15,0","2,259","7,03",251,Criollo
252-I,"1,045","19,56","10,665","1,320","36,0","15,0","2,268","7,06",252,Criollo
253-I,"1,049","19,64","10,707","1,320","36,0","15,0","2,277","7,08",253,Criollo
254-I,"1,053","19,72","10,749","1,320","36,0","15,0","2,286","7,11",254,Criollo
255-I,"1,058","19,80","10,792","1,320","36,0","15,0","2,295","7,14",255,Criollo
256-I,"1,062","19,87","10,834","1,320","36,0","15,0","2,304","7,17",256,Criollo
257-I,"1,066","19,95","10,876","1,320","36,0","15,0","2,313","7,20",257,Criollo
258-I,"1,066","20,03","10,919","1,320","36,0","15,0","2,322","7,22",258,Criollo
259-I,"1,066","20,10","10,961","1,320","36,0","15,0","2,331","7,25",259,Criollo
260-I,"1,066","20,18","11,003","1,320","36,0","15,0","2,340","7,28",260,Criollo
261-I,"1,066","20,26","11,046","1,320","36,0","15,0","2,349","7,31",261,Criollo
262-I,"1,066","20,33","11,088","1,320","36,0","15,0","2,358","7,34",262,Criollo
263-I,"1,066","20,41","11,130","1,320","36,0","15,0","2,367","7,36",263,Criollo
264-I,"1,066","20,49","11,172","1,320","36,0","15,0","2,376","7,39",264,Criollo
265-I,"1,066","20,57","11,215","1,320","36,0","15,0","2,385","7,42",265,Criollo
266-I,"1,066","20,64","11,257","1,320","36,0","15,0","2,394","7,45",266,Criollo
267-I,"1,066","20,72","11,299","1,320","36,0","15,0","2,403","7,48",267,Criollo
268-I,"1,066","20,80","11,342","1,320","36,0","15,0","2,412","7,50",268,Criollo
269-I,"1,066","20,87","11,384","1,320","36,0","15,0","2,421","7,53",269,Criollo
270-I,"1,066","20,95","11,420","1,320","36,0","15,0","2,43","7,56",270,Criollo
271-I,"1,066","21,03","11,462","1,320","36,0","15,0","2,439","7,59",271,Criollo
272-I,"1,066","21,10","11,505","1,320","36,0","15,0","2,448","7,62",272,Criollo
273-I,"1,066","21,18","11,547","1,320","36,0","15,0","2,457","7,64",273,Criollo
274-I,"1,066","21,26","11,589","1,320","36,0","15,0","2,466","7,67",274,Criollo
275-I,"1,066","21,34","11,631","1,320","36,0","15,0","2,475","7,70",275,Criollo
276-I,"1,066","21,41","11,674","1,320","36,0","15,0","2,484","7,73",276,Criollo
277-I,"1,066","21,49","11,716","1,320","36,0","15,0","2,493","7,76",277,Criollo
278-I,"1,066","21,57","11,758","1,320","36,0","15,0","2,502","7,78",278,Criollo
279-I,"1,066","21,64","11,801","1,320","36,0","15,0","2,511","7,81",279,Criollo
280-I,"1,066","21,72","11,843","1,320","36,0","15,0","2,52","7,84",280,Criollo
281-I,"1,066","21,77","11,885","1,320","36,0","15,0","2,529","7,87",281,Criollo
282-I,"1,066","21,77","11,928","1,320","36,0","15,0","2,538","7,90",282,Criollo
283-I,"1,066","21,77","11,970","1,320","36,0","15,0","2,547","7,92",283,Criollo
284-I,"1,066","21,77","12,012","1,320","36,0","15,0","2,556","7,95",284,Criollo
285-I,"1,066","21,77","12,054","1,320","36,0","15,0","2,565","7,98",285,Criollo
286-I,"1,066","21,77","12,097","1,320","36,0","15,0","2,574","8,01",286,Criollo
287-I,"1,066","21,77","12,139","1,320","36,0","15,0","2,583","8,04",287,Criollo
288-I,"1,066","21,77","12,181","1,320","36,0","15,0","2,592","8,06",288,Criollo
289-I,"1,066","21,77","12,224","1,320","36,0","15,0","2,601","8,09",289,Criollo
290-I,"1,066","21,77","12,260","1,320","36,0","15,0","2,610","8,12",290,Criollo
291-I,"1,066","21,77","12,304","1,980","36,0","15,0","2,619","8,15",291,Criollo
292-I,"1,066","21,77","12,348","1,980","36,0","15,0","2,628","8,18",292,Criollo
293-I,"1,066","21,77","12,392","1,980","36,0","15,0","2,637","8,20",293,Criollo
294-I,"1,066","21,77","12,436","1,980","36,0","15,0","2,646","8,23",294,Criollo
295-I,"1,066","21,77","12,480","1,980","36,0","15,0","2,655","8,26",295,Criollo
296-I,"1,066","21,77","12,524","1,980","36,0","15,0","2,664","8,29",296,Criollo
297-I,"1,066","21,77","12,568","1,980","36,0","15,0","2,673","8,32",297,Criollo
298-I,"1,066","21,77","12,612","1,980","36,0","15,0","2,682","8,34",298,Criollo
299-I,"1,066","21,77","12,656","1,980","36,0","15,0","2,691","8,37",299,Criollo
300-I,"1,066","21,77","12,720","1,980","30,0","14,0","2,610","8,40",300,Criollo
301-I,"1,069","21,84","12,764","1,980","30,0","14,0","2,619","8,43",301,Criollo
302-I,"1,073","21,92","12,808","1,980","30,0","14,0","2,627","8,46",302,Criollo
303-I,"1,076","21,99","12,852","1,980","30,0","14,0","2,636","8,48",303,Criollo
304-I,"1,080","22,06","12,896","1,980","30,0","14,0","2,645","8,51",304,Criollo
305-I,"1,083","22,14","12,940","1,980","30,0","14,0","2,654","8,54",305,Criollo
306-I,"1,087","22,21","12,984","1,980","30,0","14,0","2,662","8,57",306,Criollo
307-I,"1,090","22,28","13,028","1,980","30,0","14,0","2,671","8,60",307,Criollo
308-I,"1,094","22,35","13,072","1,980","30,0","14,0","2,680","8,62",308,Criollo
309-I,"1,097","22,43","13,116","1,980","30,0","14,0","2,688","8,65",309,Criollo
310-I,"1,096","22,50","13,140","1,980","30,0","14,0","2,697","8,68",310,Criollo
311-I,"1,096","22,57","13,182","1,980","30,0","14,0","2,706","8,71",311,Criollo
312-I,"1,096","22,65","13,225","1,980","30,0","14,0","2,714","8,74",312,Criollo
313-I,"1,096","22,72","13,267","1,980","30,0","14,0","2,723","8,76",313,Criollo
314-I,"1,096","22,79","13,310","1,980","30,0","14,0","2,732","8,79",314,Criollo
315-I,"1,096","22,87","13,352","1,980","30,0","14,0","2,741","8,82",315,Criollo
316-I,"1,096","22,94","13,394","1,980","30,0","14,0","2,749","8,85",316,Criollo
317-I,"1,096","23,01","13,437","1,980","30,0","14,0","2,758","8,88",317,Criollo
318-I,"1,096","23,08","13,479","1,980","30,0","14,0","2,767","8,90",318,Criollo
